Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
13, 17, green, 9, 5, -32, Exited, ,,,,, ,,,,, ,,,,, , 


14, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
14, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
14, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
14, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
14, 5, green, 4, 5, -8, Stop, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
14, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
14, 7, green, 4, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
14, 8, green, 5, 5, -19, Crashed, red, 5, 5, -19, Crashed, white, 5, 9, -14, Exited, ,,,,, , 



15, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
15, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
15, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
15, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
15, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
15, 6, green, 5, 5, -10, Go, red, 5, 3, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
15, 7, green, 6, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
15, 8, green, 7, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
15, 9, green, 8, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
15, 10, green, 9, 5, -18, Exited, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
15, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
15, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 


16, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
16, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
16, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
16, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
16, 5, green, 4, 5, -8, Stop, red, 5, 2, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
16, 6, green, 4, 5, -10, Stop, red, 5, 3, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
16, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
16, 8, green, 4, 5, -14, Stop, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
16, 9, green, 4, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
16, 10, green, 5, 5, -18, Go, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
16, 11, green, 6, 5, -20, Go, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
16, 12, green, 7, 5, -22, Go, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 
16, 13, green, 8, 5, -24, Go, ,,,,, ,,,,, ,,,,, , 
16, 14, green, 9, 5, -26, Exited, ,,,,, ,,,,, ,,,,, , 


17, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
17, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
17, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
17, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
17, 5, green, 4, 5, -8, Stop, red, 5, 2, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
17, 6, green, 4, 5, -10, Stop, red, 5, 3, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
17, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
17, 8, green, 4, 5, -14, Stop, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
17, 9, green, 4, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
17, 10, green, 5, 5, -18, Go, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
17, 11, green, 6, 5, -20, Go, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
17, 12, green, 7, 5, -22, Go, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 
17, 13, green, 8, 5, -24, Go, ,,,,, ,,,,, ,,,,, , 
17, 14, green, 9, 5, -26, Exited, ,,,,, ,,,,, ,,,,, , 


18, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
18, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
18, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
18, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
18, 5, green, 4, 5, -8, Go, red, 5, 4, -8, Stop, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
18, 6, green, 5, 5, -10, Go, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
18, 7, green, 6, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
