Time_stamp,green_car_x,green_car_y,green_car_reward,red_car_x,red_car_y,red_car_reward,white_car_x,white_car_y,white_car_reward,green_car_decision,red_car_decision,white_car_decision,Simulation
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,21
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,21
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,21
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
