Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
18, 17, green, 4, 5, -32, Stop, red, 5, 4, -32, Stop, , 
18, 18, green, 4, 5, -34, Stop, red, 5, 4, -34, Stop, , 
18, 19, green, 4, 5, -36, Stop, red, 5, 4, -36, Stop, , 
18, 20, green, 4, 5, -38, Stop, red, 5, 4, -38, Go, , 
18, 21, green, 4, 5, -40, Exited, red, 5, 5, -40, Exited, , 


19, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
19, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, , 
19, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Go, , 
19, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, , 
19, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
19, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
19, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
19, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
19, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, , 
19, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, , 
19, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, , 
19, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, , 
19, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Stop, , 
19, 14, green, 4, 5, -26, Stop, red, 5, 4, -26, Go, , 
19, 15, green, 4, 5, -28, Stop, red, 5, 5, -28, Go, , 
19, 16, green, 4, 5, -30, Go, red, 5, 6, -30, Go, , 
19, 17, green, 5, 5, -32, Go, red, 5, 7, -32, Go, , 
19, 18, green, 6, 5, -34, Go, red, 5, 8, -34, Go, , 
19, 19, green, 7, 5, -36, Go, red, 5, 9, -36, Exited, , 
19, 20, green, 8, 5, -38, Go, ,,,,, , 
19, 21, green, 9, 5, -40, Exited, ,,,,, , 



20, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
20, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
20, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
20, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, , 
20, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
20, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
20, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
20, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
20, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, , 
20, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, , 
20, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, , 
20, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, , 
20, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Stop, , 
20, 14, green, 4, 5, -26, Stop, red, 5, 4, -26, Stop, , 
20, 15, green, 4, 5, -28, Stop, red, 5, 4, -28, Stop, , 
20, 16, green, 4, 5, -30, Stop, red, 5, 4, -30, Stop, , 
20, 17, green, 4, 5, -32, Stop, red, 5, 4, -32, Go, , 
20, 18, green, 4, 5, -34, Stop, red, 5, 5, -34, Go, , 
20, 19, green, 4, 5, -36, Go, red, 5, 6, -36, Go, , 
